RT_NM,STP_NM,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 e/of Vaughan Valley Blvd,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,York University - 501C - Zum Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Highway 50 - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,The Gore Road - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,McVean - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Goreway - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Airport Road - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Chrysler - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Torbram - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Glenvale - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Bramalea - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Bramalea Terminal- Zum Queen 501/501C EB-Departure,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Bramalea Terminal- Zum Queen 501 WB-Departure,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Dixie - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Laurelcrest - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Rutherford - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Kennedy - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
