RT_NM,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Vaughan Metropolitan Centre Station,2,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Commerce Station,3,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Weston Station,4,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Ansley Grove Station,5,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Pine Valley Station,6,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Helen Station,7,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at Islington Ave,8,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 w/of Kipling Ave,9,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at Martin Grove Rd,10,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 e/of Hwy 27,11,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 e/of Vaughan Valley Blvd,12,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,York University - 501C - Zum Station Stop WB,13,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Highway 7 e/of New Huntington Rd,14,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Highway 50 - Zum Queen Station Stop WB,15,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,The Gore Road - Zum Queen Station Stop WB,16,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
